id,file_content,labels
10.txt,"911: Hello, 911? Yes?
Caller: Ma'am, I need to like leave quickly down to Shark Chain Hay, Rise River Road, kill me, and now I have taken my gun back, loading him, and he still wants right now.
911: Okay, tell me where you are.
Caller: 1385 River Road. 13813. Eight five River Road.
911: River Road, yes, yes, 1385 River Road. And what's your name?
Caller: My name is Paul Baker. Paul Baker, yes, ma'am.
911: Mr. Baker, what's your phone number? Cell phone?
Caller: I don't know.
911: Okay, somebody just tried to do what to you?
Caller: He took my truck. He stole...
911: What kind of truck is it?
Caller: More? I'm sorry, I don't know.
911: But who is he? Who's he?
Caller: He is... God, I know, but he just decided to take my gun away.
911: Okay, but tell me who he is. What's his name?
Caller: I don't know your name. You don't know his name, I can't remember. I'm bleeding like...
911: You're bleeding from where?
Caller: My head. I used to be a term addict. I'm stay out here with an AK-74 and goes back in the driveway that you are going to have problems. Please get somebody here quick.",Paramedics
100.txt,"Caller: Hold on, hold on buddy, hold on. No, if he sits down, he's gonna go into shock, he's got to stand up. Okay. Is he here in the store? Okay? More, you're right. I think we need to put him in a wheelchair. Okay, get a wheelchair.
911: Emergency Dispatch, 911, I need an ambulance to the South Side Walmart immediately. What's going on?
Caller: I have a man shot.
911: Okay, we've had other calls on it. We are getting an ambulance going. Where is the person who was shot?
Caller: He is inside the store right now, inside the doors. Right inside. Yeah. Where was he shot?
911: Was he shot outside?
Caller: Shot in the face. In the face. Yes, where is the person who shot him?
911: Did they drive off? Do you know what kind of vehicle they drove off in? What kind of vehicle? What kind of vehicle? I don't know. Relax. Slow down. Truck, car, what was the vehicle?",Paramedics
101.txt,"911: Was it a male?
Caller: Yes.
911: Okay, you're at 291 Stevens Drive, right? Was he breaking into your house? Was he breaking into your house?
Caller: Yes, he came in with a knife. You don't know who he was, okay, so he came into your apartment with a knife.
911: Where is he in the house?
Caller: He just took off into my bedroom.
911: Okay, where did you shoot him?
Caller: In the living room.
911: Okay, ma'am. Ma'am. We got everybody on the way. Okay. Oh, where is the gun?
Caller: It's right here with me.
911: Okay, keep the gun away from you now, okay? Just put it down safely.
Caller: Okay.
911: Is he still in the bedroom? Do you hear him moving around?
Caller: I don't hear anything.
911: Okay, do not go near him. Stay where you are and wait for the officers, okay?
Caller: Okay.",Paramedics
105.txt,"911: I don't know what happened. Okay, is the person bleeding at all? Or...
Caller: Yes, yes.
911: Okay. How old is this person?
Caller: 23.
911: 23 male or female?
Caller: Female. I have a mother. She... she's right now, the daughter, laying on the ground. She found her laying on the ground.
911: Okay, you're not going to hear me for a second, but do not hang up. Okay. Okay, ma'am, yes, okay, tell me exactly what happened.
Caller: I don't know what happened. I got home, found her... they come down. We found her laying down in the garage. Somebody stabbed her with a knife.
911: Okay, someone stabbed her with a knife. Where is the knife now? Do you see a knife?
Caller: No, I don't see nothing. Just blood everywhere.
911: Just blood everywhere. Okay, is she breathing at all? Can you check if she's breathing?
Caller: No, I don't think so. She's cold.
911: She's cold. Okay, do not touch anything there, okay? Just stay on the line with me. Police and ambulance are on their way. Is your mother there with you?
Caller: Yes, she's here. She's really upset.
911: I understand. Try to keep calm, both of you. We have help coming. Just stay on the line and don't touch anything, okay?",Paramedics
111.txt,"911: Yeah, 911, what is the address of the emergency?
Caller: I think we're on 75, I-75. Yes, do you know what mile marker? I know I can't see anything, it is so dense. The fog is so dense. And we just hit a guardrail. And I think there was another accident behind us, because I heard it.
911: Are you northbound or southbound?
Caller: We are going southbound on 75.
911: Okay, we're going to get you some help out there. What's the phone number you're calling from?
Caller: [Phone number] Erica first. Oh my gosh, it's so dark here.
911: Okay, and let me see just one second. Okay, hold on. Okay, okay. What is the city that you're nearest? Have you seen any signs for a city recently?",Paramedics
113.txt,"911: Hello, hi, this is the Naperville Police and Fire Department. Did you call 911?
Caller: Okay, I'm sorry. You have what?
911: Okay, we have fire department on the way there. Okay, I... Okay, I think he got stabbed. I'm not sure.
911: Okay, you think he got stabbed? Okay, did you think he got stabbed? Maybe provide any help you can. I need an ambulance.
Caller: Yes, please. We have the fire department on the way. Sorry, was this subject stabbed? Yes, right now.
911: Where is it? Where is the person who stabbed him?
Caller: Right, right to the right of the heart. Okay. Is he still there? Though, in Frankie's? Yes, he said, Frankie's upstairs. We need someone now.
911: Okay, the paramedics and the police are on the way, but the person who stabbed him, is he still there?
Caller: I do not know. Okay, all right, we'll be there. I'm sorry, say that again.
911: Okay, we have the paramedics on the way.",Paramedics
120.txt,"911: My mom's on the floor sleeping. I can't wake her up. What is wrong with your mommy?
Caller: I don't know, but she's not waking up. Oh, my... waking up in the base. You made me cry. I was crying my head off.
911: Okay. Can you do me a favor, please? Can you tell me if she is on her stomach or her back?
Caller: I don't know. Can you look at your mommy? Is she laying on her stomach, okay? Well, is her on her back? Ah. Her waiting on her side.
911: Okay, can you roll her onto her back?
Caller: Can you push her? No, she's too big.
911: Are you a doctor or...? No, honey, I'm gonna get someone out to you. I want you to stay on the phone, please. How long has your mommy been sleeping?
Caller: I don't know if calling somebody, they wouldn't answer.",Paramedics
124.txt,"911: This is 911, what's the address of your emergency?
Caller: Yeah, we're at the corner of 119 and County Road One. We just saw a plane go down at the corner of 119 and County Road One, right there on the interplane.
911: Okay. What direction are you facing?
Caller: South right now. It's in the south field. It's in the south field at that intersection.
911: Did you see, do you see any smoke or flames?
Caller: No, but we heard it go boom. We don't see any smoke or flames yet.
911: Did you witness it go down?",Paramedics
126.txt,"911: Is there a clear negative, 15 vs eyes? I'm inside Target on the north entrance of Target.
Caller: North entrance of Target. I copied to 15 that your location. We're also getting information regarding somebody being shot inside the GNC store.
911: Sounds like he's in the mall.
Caller: Good thing. Get some help there and rapid deployment in there. I am, then I'm trying to get to the small entrance to Target. There's other officers on the left side of Target here. 220 call rapid deployment, having a car city wide respond over there, code one. We have shots fired in the mall. We have shots fired in the outside fall.",Paramedics
128.txt,"911: What is the address to your emergency?
Caller: Hi, this is a call from Captain Doug's air boat tours in Everglades City. Our address is 905 DuPont Road.
911: Okay, we've had an air boat accident?
Caller: Yes, we've had an air boat accident. I'm not sure if there are injuries. I don't know to what extent right now. We've got somebody bringing the injured back to our dock. We just need a deputy and EMS. Do you know how many people were injured?
911: How many people were injured?
Caller: I don't know who was on the boat. I don't know how many were injured. I've got a captain from another company bringing the injured to my dock now, and then we've got other people also on the boat. I just don't know yet until they get here. He had a total of six people on his boat when he left. So up to six, I just don't know how many are injured.",Paramedics
131.txt,"Caller: Having a heart attack. Brooke, we're going to start CPR on him.
911: Okay, I'm going to tell you what to do. Okay. Are you right next to him?
Caller: Yeah, put him flat on the floor, on his back, okay. Expose his chest. Expose his chest. Kneel by his side. Okay, okay.
911: Put the heel of your hand in the center of his chest, right between the nipples. Okay, push down firmly with only the heel of your hand two inches, and do it 30 times like you're pumping the chest. I'm gonna count. I want you to go this fast, as fast as I'm counting. 1-2-3-4-5-6-7-8-9-10,",Paramedics
132.txt,"911: With what agency, sir? I'm sorry, which police department?
Caller: Miami-Dade Police Officer.
911: Okay, this is 6701 Northwest Seventh Avenue, that's correct. Please stop here. 315, IV. Shots. Okay, stay with me on the line. Where's the person that shot you?
Caller: That is me.
911: You shot yourself, yes? What is your name, hon?
Caller: I'm Joseph.
911: Joseph, what's your last name?
Caller: City. I have helped start. Joseph is my last name.
911: Joseph is your last name?
Caller: Yes. What's your unit number?
911: 3343 headquarters. Your headquarters unit? Stay with me on the line. Yes, please. Let me see your Miami Police. You're in front of this address?
Caller: Yes, I'm in the back of the church.
911: Okay, Hannah has help on the way out. Gary, you're sure the person that shot you is gone?
Caller: Yes, they're gone. Three black males.
911: Three black males? Yes, do you remember if they left on foot or in a car?
Caller: They left on foot.",Paramedics
137.txt,"911: Sure. Okay. How many people are on board?
Caller: We have two boards, preservers. We have life preservers.
911: Are you in the water now?
Caller: We're in the water. We're filling up. Okay, no, we're still in the plane. Can you get out of the plane? Can you open the door? We're gonna go into the rear, the plane is filling up. Okay?
911: On the phone, we're in the Hudson sir, yes, we're in the Hudson River. We're at the Alpine tower.
Caller: Alpine tower. Yes, we're in the middle of the Hudson.
911: At the middle of the Hudson. Okay, are you? Are you going out to dark?",Paramedics
138.txt,"911: Excuse me, fire department, what's the address of the emergency please?
Caller: Yes, we need someone out at Benwood Gardens as soon as possible for a lady that had a heart problem.
911: What is the address? What's the address here? Do you know the address? It's Benwood Gardens. It's right on the corner.
911: Okay. Where's the patient located?
Caller: The patient is located in the dining room.
911: Okay. Which building of Benwood Gardens? Building A, B, or C? Do you know?
Caller: It's in the main, main building. Someone who works there? Okay. What's your cell phone number? In the meantime, in case you get disconnected, hold on, so I'm going to dispatch fire rescue.
911: Ma'am, what's the name of this building, the dining one?
Caller: Hi, it's Building A, okay.",Paramedics
140.txt,"911: County, 911, emergency.
Caller: Yes, I have a three-year-old who's not breathing.
911: Address, ma'am?
Caller: 16097 North Waldorf Avenue, Gardendale.
911: And your phone number?
Caller: 5619489. Okay, are you looking at him now?
Caller: Yes, I'm attempting CPR. He was playing outside on the playground. I'm not sure what happened.
911: Okay, not breathing at all.
Caller: He doesn't appear to be breathing at all. I cannot get any chest movement for the rescue breaths.
911: Okay, I'm getting them on the way. You know how to do CPR? Ma'am, oh, I'm sorry, do you know how to do CPR?
Caller: Yes, I do know how to do CPR. I'm trying to do CPR on him. At this point in time, I'm gonna put you on speaker.
911: Okay, sure, that's fine.",Paramedics
143.txt,"911: Emergency, yeah.
Caller: Can you please send rescue to... I think I'm having an overdose as soon as... my wife, okay?
911: You and your wife?
Caller: Yes.
911: Overdose of what?
Caller: Marijuana? I don't know if they had something in it.
911: Okay, can you please send rescue? Okay, how old are you?
Caller: I'm 28, 29 years old, and my wife is 26, please come, 26.
911: Yes, please. Have you guys been drinking also? What have you guys been drinking today, too?
Caller: No, that's it. Is there any weapons in your house?
Caller: No, please come.
911: Okay. Why don't I...? Are you guys, like, did you guys have a fever or anything?
Caller: No, I'm just, I think we're dying. How much did you guys have?
Caller: I don't know. We made brownies, and I think we're dead, I really do.
911: Okay, how much did you put in the brownies?
Caller: I don't know. It was in a bag. Who made the brownies?",Paramedics
144.txt,"911: 911, what's the emergency?
Caller: A guy stopped me, I think his wife is struggling, something is wrong with his wife.
911: He's doing what? Something's wrong with his wife? He doesn't speak very good English.
Caller: Medically wrong. Yeah.
911: Okay, you are on Garfield by 22 Mile, off to the side of the road? You're on Garfield yourself?
Caller: 22, Yeah.
911: What kind of car is it?
Caller: It's a red car. She just had a baby. She just had a baby.
911: She just had a baby? Yeah, just now in the car, yeah. In the car, is the baby completely out?
Caller: Yeah.
911: And there's blood and... okay, okay. Is... can you tell if the baby is crying?
Caller: The baby's not crying. It's not breathing right now, it's not breathing, not that I can tell, no.
911: Okay, you need to try to...",Paramedics
